0.421476579058904,spec-3586-55181-0634.fits,1186
0.473348987318693,spec-3590-55201-0484.fits,77
0.482127027770377,spec-3589-55186-0062.fits,671
0.485843980412654,spec-3586-55181-0500.fits,182
0.492627799194357,spec-3588-55184-0412.fits,86
0.495908031271811,spec-3590-55201-0485.fits,77
0.49729075220663,spec-3590-55201-0928.fits,46
0.499849847143964,spec-3586-55181-0408.fits,77
0.506753809364211,spec-3590-55201-0072.fits,76
0.50947434623811,spec-3589-55186-0538.fits,1367
0.516352324313293,spec-3590-55201-0212.fits,1389
0.517731027136521,spec-3588-55184-0516.fits,52
0.519672420046486,spec-3588-55184-0407.fits,86
0.520550479541529,spec-3590-55201-0392.fits,75
0.520790509903492,spec-3590-55201-0542.fits,47
0.521393394933567,spec-3590-55201-0876.fits,1659
0.521674840012613,spec-3589-55186-0874.fits,59
0.521878617711763,spec-3589-55186-0330.fits,80
0.522954183654095,spec-3587-55182-0256.fits,69
0.523367184460517,spec-3589-55186-1000.fits,53
0.523977062067124,spec-3590-55201-0420.fits,74
0.527101638365829,spec-3590-55201-0976.fits,190
0.528868786907215,spec-3589-55186-0986.fits,52
0.531365001089976,spec-3590-55201-0050.fits,74
0.531383939830066,spec-3590-55201-0168.fits,2282
0.532167927712679,spec-3588-55184-0524.fits,57
0.532464952364501,spec-3590-55201-0994.fits,39
0.532479947291224,spec-3586-55181-0004.fits,222
0.532773079520741,spec-3586-55181-0416.fits,76
0.533368517493791,spec-3587-55182-0426.fits,70
0.533526315778759,spec-3588-55184-0276.fits,229
0.534381308007922,spec-3586-55181-0918.fits,247
0.534451632509306,spec-3588-55184-0584.fits,54
0.53669803567309,spec-3587-55182-0572.fits,60
0.537505674438185,spec-3586-55181-0384.fits,75
0.538975040816138,spec-3588-55184-0934.fits,201
0.539987682262931,spec-3590-55201-0038.fits,73
0.540373592179979,spec-3588-55184-0854.fits,56
0.540943759490962,spec-3589-55186-0437.fits,77
0.541199350875041,spec-3586-55181-0394.fits,77
0.541870081573373,spec-3588-55184-0444.fits,229
0.542281188727726,spec-3590-55201-0828.fits,1622
0.542824486037694,spec-3586-55181-0242.fits,225
0.543523424224554,spec-3590-55201-0266.fits,1387
0.543530528302645,spec-3586-55181-0568.fits,63
0.543553338173825,spec-3590-55201-0961.fits,194
0.543914217730642,spec-3587-55182-0516.fits,53
0.544305951627658,spec-3590-55201-0900.fits,188
0.546153593275801,spec-3586-55181-0592.fits,62
0.549098091902638,spec-3586-55181-0892.fits,61
0.550935815468708,spec-3588-55184-0292.fits,1852
0.552657639550931,spec-3590-55201-0754.fits,189
0.554548656426012,spec-3589-55186-0140.fits,1425
0.555720620613495,spec-3588-55184-0198.fits,600
0.556516994349444,spec-3586-55181-0220.fits,224
0.556763079682851,spec-3590-55201-0744.fits,189
0.55740101836798,spec-3590-55201-0236.fits,1388
0.55798478435267,spec-3587-55182-0270.fits,581
0.558420986179343,spec-3589-55186-0350.fits,78
0.558589487232554,spec-3589-55186-0706.fits,56
0.558684357504035,spec-3588-55184-0216.fits,1432
0.559242134540626,spec-3590-55201-0646.fits,1184
0.561341648122792,spec-3589-55186-0336.fits,225
0.561622974198226,spec-3590-55201-0501.fits,106
0.563096970534384,spec-3590-55201-0490.fits,219
0.563305010994566,spec-3589-55186-0361.fits,224
0.563565335748302,spec-3586-55181-0563.fits,213
0.564332288244434,spec-3590-55201-0968.fits,43
0.564604090975378,spec-3586-55181-0814.fits,63
0.565733267207293,spec-3586-55181-0866.fits,63
0.565819612957922,spec-3588-55184-0632.fits,54
0.568456348497552,spec-3589-55186-0950.fits,199
0.569484711586692,spec-3587-55182-0208.fits,68
0.569559767323242,spec-3588-55184-0410.fits,86
0.57016018262397,spec-3588-55184-0514.fits,1370
0.570194821010344,spec-3590-55201-0954.fits,1653
0.570451098319233,spec-3589-55186-0292.fits,81
0.571938612411552,spec-3586-55181-0144.fits,219
0.572025394134958,spec-3589-55186-0448.fits,590
0.573860925808918,spec-3589-55186-0224.fits,222
0.574894792151381,spec-3587-55182-0242.fits,65
0.575205674343894,spec-3590-55201-0778.fits,1377
0.576455358191766,spec-3590-55201-0152.fits,1115
0.57736220352556,spec-3590-55201-0216.fits,76
0.57740972970897,spec-3589-55186-0200.fits,222
0.577733768548642,spec-3589-55186-0394.fits,77
0.578475758003668,spec-3588-55184-0464.fits,597
0.580482190234255,spec-3587-55182-0902.fits,1812
0.581017028432928,spec-3587-55182-0140.fits,1510
0.582893686194876,spec-3590-55201-0494.fits,73
0.583160631576359,spec-3586-55181-0156.fits,74
0.583686080113376,spec-3589-55186-0222.fits,78
0.584032872868037,spec-3588-55184-0478.fits,531
0.584330213597884,spec-3587-55182-0258.fits,1925
0.585356182569735,spec-3587-55182-0584.fits,61
0.585588454299723,spec-3586-55181-0524.fits,210
0.586193207398503,spec-3589-55186-0446.fits,880
0.587792001472779,spec-3588-55184-0300.fits,86
0.5890140689556,spec-3588-55184-0810.fits,56
0.589330546035587,spec-3587-55182-0774.fits,369
